string	surah_frequency
شوي	{'70': 86.42633928571428, '18': 11.557910447761195}
حقب	{'78': 103.52673796791443, '18': 11.557910447761195}
سفن	{'29': 19.66429659725749, '18': 11.557910447761195}
جار	{'23': 18.29820415879017, '16': 10.30582911897791}
لبن	{'47': 35.231119199272065, '16': 10.30582911897791}
نحل	{'16': 10.30582911897791, '4': 5.270042194092827}
سربل	{'14': 23.48029108550637, '16': 10.30582911897791}
رغد	{'16': 10.30582911897791, '2': 3.1437966872361156}
صبع	{'71': 90.04418604651163, '2': 3.1437966872361156}
جزع	{'70': 86.42633928571428, '14': 23.48029108550637}
شخص	{'14': 23.48029108550637, '21': 15.88797702092737}
قنع	{'14': 23.48029108550637, '22': 15.261726448561292}
مضغ	{'23': 18.29820415879017, '22': 15.261726448561292}
صبغ	{'23': 18.29820415879017, '2': 3.1437966872361156}
نكص	{'23': 18.29820415879017, '8': 15.334257425742575}
نكب	{'67': 58.75417298937785, '23': 18.29820415879017}
كين	{'23': 18.29820415879017, '3': 5.4687853107344635}
مور	{'67': 58.75417298937785, '52': 56.93970588235294}
كهن	{'69': 67.33739130434783, '52': 56.93970588235294}
سحق	{'67': 58.75417298937785, '22': 15.261726448561292}
قطف	{'76': 74.45961538461539, '69': 67.33739130434783}
كعب	{'78': 103.52673796791443, '5': 6.916577349053233}
وجف	{'79': 92.6291866028708, '59': 43.16499442586399}
حفر	{'79': 92.6291866028708, '3': 5.4687853107344635}
ودق	{'30': 23.66687041564792, '24': 14.829184220605132}
وثن	{'29': 19.66429659725749, '22': 15.261726448561292}
مزج	{'83': 110.62571428571428, '76': 74.45961538461539}
وسل	{'17': 12.013341607198262, '5': 6.916577349053233}
رعد	{'13': 22.76249265138154, '2': 3.1437966872361156}
غلف	{'4': 5.270042194092827, '2': 3.1437966872361156}
زحزح	{'3': 5.4687853107344635, '2': 3.1437966872361156}
خرب	{'59': 43.16499442586399, '2': 3.1437966872361156}
جنف	{'5': 6.916577349053233, '2': 3.1437966872361156}
طوق	{'3': 5.4687853107344635, '2': 3.1437966872361156}
امو	{'24': 14.829184220605132, '2': 3.1437966872361156}
حيض	{'65': 68.8950177935943, '2': 3.1437966872361156}
عضل	{'4': 5.270042194092827, '2': 3.1437966872361156}
جسم	{'63': 105.50136239782016, '2': 3.1437966872361156}
محق	{'3': 5.4687853107344635, '2': 3.1437966872361156}
نعس	{'8': 15.334257425742575, '3': 5.4687853107344635}
فشل	{'8': 15.334257425742575, '3': 5.4687853107344635}
ثخن	{'47': 35.231119199272065, '8': 15.334257425742575}
رسخ	{'3': 5.4687853107344635, '4': 5.270042194092827}
